answer_llm,answer_orig,document,question,course,prompt_tokens,result_tokens
"No, the course will not cover the theoretical derivation of the gradient update rule for logistic regression. The course focuses on practical applications and only covers theory on an intuitive level. 
","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp,426,36
"The course focuses more on practice, covering theory only minimally and intuitively. 
","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp,541,16
"The course prioritizes practical application over deep theoretical dives. To explore the theoretical aspects not covered in this course, you can explore other resources. For instance, the gradient update rule for logistic regression is not extensively covered in this course. However, the FAQ suggests that other courses specialize in such topics. 
","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp,493,61
"Yes, the course will teach you how to use logistic regression and interpret the results. However, it won't delve into the theoretical derivations, such as the gradient update rule. 
","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp,400,39
"The course covers some linear algebra, but you are not expected to have prior knowledge in math. The course primarily focuses on code, with minimal use of formulas. 
","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp,552,34
"The course will cover some linear algebra, but will generally use very few formulas and mostly code. 
","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp,687,21
"The course covers linear algebra, but if you need help, there are resources like the ML Zoomcamp 1.8 - Linear Algebra Refresher by Alexey Grigorev and the 3Blue1Brown Vectors playlist. You can also ask the community for help. 
","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp,626,55
"The context provided mentions that you can ask the community for help if you have any questions, but it doesn't specify whether those questions can be math-related. Therefore, I cannot answer your question. 
","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp,683,43
"Yes, there are two recommendations:

* ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev 
* The playlist ""Vectors | Chapter 1, Essence of linear algebra"" from 3Blue1Brown 
","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp,631,51
"First, check the promotions tab and spam folder of your email. If you unsubscribed from the newsletter, you won't receive a confirmation email, but you can still get course updates and announcements on the #course-ml-zoomcamp Slack channel and the course's Telegram channel. 
","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp,410,60
"Yes, it's possible the confirmation email is in your spam folder. The answer to a previous question suggests checking your spam folder if you haven't received a confirmation email. 
","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp,481,38
"Yes, unsubscribing from the newsletter will stop you from getting course updates. It is recommended to join the course Slack channel and Telegram channel to stay updated. 
","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp,887,34
"Join the #course-ml-zoomcamp channel in Slack and our Telegram channel to get course updates. 
","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp,461,23
"If you are having email issues, you can stay updated about the course by joining the #course-ml-zoomcamp channel on Slack and the course's Telegram channel. These channels will provide you with all necessary course announcements and information. 
","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp,511,50
"The course duration is approximately 4 months. However, it may take longer if you choose to engage in extra activities like additional projects or article writing. 
","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp,382,32
"The course takes approximately 4 months to complete. 
","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp,436,12
"Yes, the course may take more than 4 months if you decide to do extra activities. 
","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp,411,21
"The course is approximately 4 months long and may take longer if you choose to do extra activities. 
","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp,447,22
"The course could take longer than four months if you choose to complete an extra project or write an article. 
","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp,474,23
"You should allocate approximately 10 hours per week for this course, based on a detailed analysis of the time commitment for the previous cohort. 
",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp,607,30
"Timur Kamaliev. 
",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp,356,8
"Timur Kamaliev analyzed the time commitment of the previous cohort, and it was around 10 hours per week. 
",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp,451,27
"Around 10 hours per week.  A previous student, Timur Kamaliev, did an analysis of the time commitment for each module and project, which you can read about in his article. 
",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp,355,42
"Timur Kamaliev wrote a detailed analysis of the time requirements for this course. You can find a link to the full article in the FAQ section ""General course-related questions"" under the question ""How much time do I need for this course?"" 
",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp,429,53
"To earn a certificate, you must complete at least two out of three projects and review three of your peers' projects by the deadline. 
","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp,418,29
"To receive a certificate, you must complete these requirements:

* Finish at least two out of three projects.
* Review three peers' projects by the deadline. 
","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp,469,35
"No, you do not need to complete all of the projects to receive a course certificate. You need to complete at least two out of three projects and review three of your peers' projects by the deadline. 
","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp,420,43
"To get a certificate, you need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline. 
","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp,423,30
"Yes, there is a certificate version available without a robot image. 
","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp,547,15
"Yes, you will still receive a certificate if you completed two out of three projects and reviewed at least three peer projects by the deadline. 
","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp,509,29
"You can still graduate without submitting the midterm project. You need to complete two out of the three projects and review three peer projects to be eligible for a certificate. 
","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp,415,34
"Yes, you can still get a certificate if you missed the midterm project. You need to complete at least two out of the three projects and review three of your peers' projects by the deadline to be eligible. 
","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp,425,44
"No, it's not mandatory to complete the midterm project to get the certificate. You need to complete at least two out of three projects and review three peer projects by the deadline. 
","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp,515,39
"Yes, you can still earn the course certificate even if you miss the midterm project. You are required to complete at least two out of the three projects and review three of your peers' projects by the given deadline. 
","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp,513,45
"To succeed in the course, you should be comfortable with running a Jupyter notebook, importing libraries, declaring variables, and performing basic data analysis operations in Python. The ""Learn Python Basics for Data Analysis"" course on OpenClassrooms is a recommended resource to gain these skills. 
","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp,651,56
"You can learn Python through the ""Learn Python Basics for Data Analysis"" course on OpenClassrooms. This course is free and covers the fundamentals of Python for data analysis. 
","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp,737,36
"While the context provided explains the importance of a train.py file, it does not mention why running a Jupyter notebook is important for the course. Therefore, I cannot answer your question. 
","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp,548,39
"This question is best answered by the context provided in the ""How much Python should I know?"" section.  You should understand how to run a Jupyter notebook, import libraries, declare a variable, and perform some basic data analysis operations. 
","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp,557,49
"To learn how to declare variables in Python, you can take the free ""Learn Python Basics for Data Analysis"" course on OpenClassrooms. 
","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp,901,30
"For the Machine Learning portion of the course, you only need a laptop with internet access. The Deep Learning portion requires more resources, so you'll use a cloud service like Saturn Cloud. 
","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp,1031,40
"Yes, a working laptop with an internet connection is all you need for the Machine Learning portion of the course. 
","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp,589,24
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. 
","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp,516,22
"Yes, Saturn Cloud can be used for the Deep Learning part of the course, as it is more resource-intensive. You are not limited to using Saturn Cloud, and any cloud resource is acceptable. 
","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp,1054,42
"The context provided states that for the Deep Learning part of the course, ""you can use a cloud (we use Saturn cloud but can be anything else)."" Therefore, it is possible to use a cloud service other than Saturn Cloud. 
","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp,1058,48
"The provided FAQ excerpt includes a link to an article that may have instructions on installing TensorFlow GPU on Ubuntu. You can find it in the ""General course-related questions"" section, under the question ""How to setup TensorFlow with GPU support on Ubuntu?"". 

The link is: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/ 
",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp,971,89
"This FAQ database doesn't contain the answer to your question about a guide for setting up TensorFlow with GPU on Ubuntu. However, there are instructions on how to set up TensorFlow with GPU on Ubuntu using an article from knowledge.com. 
",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp,1047,49
"This FAQ database primarily covers troubleshooting TensorFlow GPU configurations rather than providing a guide on how to set it up. However, it does suggest that CUDA and cuDNN are required to run TensorFlow with GPU support on Ubuntu. For a detailed guide, you can refer to an external article recommended in the ""General course-related questions"" section. 
",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure GPU support for TensorFlow on my Ubuntu machine?,machine-learning-zoomcamp,1047,68
"The ""General course-related questions"" section suggests an article that may help you set up TensorFlow with GPU support on Ubuntu: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/ 
",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Can you direct me to a resource for installing TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp,1049,58
"To set up TensorFlow with GPU support on Ubuntu, you can refer to this article: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/ 
",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,What is the procedure to set up TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp,971,50
"To join a channel in Slack, click ""All channels"" at the top of your left sidebar. If you don't see this option, click ""More"" to find it. You can browse the list of public channels or use the search bar. Select the channel you want and click ""Join Channel"". 
","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,How can I join a channel in Slack?,machine-learning-zoomcamp,620,64
"The provided content explains how to join Slack channels in general but doesn't contain instructions on how to locate course channels specifically. Therefore, I cannot answer your question. 
","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,What steps should I follow to find course channels on Slack?,machine-learning-zoomcamp,664,35
"This FAQ database does not contain an answer to your question. However, there are multiple mentions of sharing GitHub repositories with the course staff for grading purposes. It is likely that you will need to provide the URL of your repository. 
","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Is there a need to give the URL to our GitHub repo?,machine-learning-zoomcamp,878,47
"You are required to provide the URL to your repo in order to receive a grade. 
","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Where do I provide the GitHub URL for our homework?,machine-learning-zoomcamp,958,19
